data,example,nonexample,unknown
@JebBush solutions to address the issues. And only America has the competencies and expériences to deal with the Terrorism issue.,0,1,0
@BernieSanders said ''Yes I will raise Tax on everyone''. https://t.co/5Dn5YGszto,0,1,0
@JebBush @HillaryClinton @danmericaCNN https://t.co/ox5U3gG1B1,0,1,0
@tedcruz @glennbeck @realDonaldTrump when you rely on Glenn Beck for support your pathetic,0,1,0
"@RealBenCarson @DMRegister DR. CARSON= INTEGRITY, TRUTHFULNESS, NOT EGO DRIVEN, MAN OF FAITH, COMMON SENSE SOLUTIONS# OUR DOC ROCKS",0,1,0
@realDonaldTrump eat shit 💕,0,1,0
@BernieSanders 75% of the abortions are black babies  i guess you an Hillary are racist over 99 thousand black babies last year aborted,1,0,0
@ChrisChristie @njdotcom @News12NJ  https://t.co/i1NOsak0dX,0,1,0
@tedcruz @glennbeck @realDonaldTrump And tell me again why @glennbeck is even relevant to the slightest degree anymore?,0,1,0
@BernieSanders @CarolCNN @cspanwj @CNNAshleigh @Vets4Bernie #FeelTheBern @HillaryClinton @NewsHour   https://t.co/69JfMTXe4W,0,1,0
@BernieSanders https://t.co/rrhWvSZodZ,0,1,0
@realDonaldTrump @Sharp_Trident @megynkelly You can say that again,0,1,0
@tedcruz @glennbeck @realDonaldTrump I'm very disappointed in Glenn for not endorsing @RandPaul - the only real constitutionalist running.,0,1,0
@realDonaldTrump so I guess your not willing to end our oil addiction as I have offered alternative energy ideas several times...#noresponce,0,1,0
@realDonaldTrump Everyone is running scared! You so threaten their little empire! Go get 'em Donald! #Jobs#Immigration#Truth,0,1,0
@tedcruz @glennbeck @realDonaldTrump Watch what Beck had to say about 9-11 victims &amp; Katrina victims UNBELIEVABLE https://t.co/FxGLwXwfoB,0,1,0
@tedcruz @glennbeck @realDonaldTrump Except our lying eyes and ears say differently. It IS about Beck (and Megyn). Rage @ Trump is personal.,0,1,0
@realDonaldTrump @xxFlame @bobvanderplaats Gooooooo Trump all the way. .. https://t.co/gjtrFs63aN,0,1,0
@RealBenCarson @DMRegister #VoteCarson #BORNinTheUSA #tcot #ccot #Iowa #BC2DC16 #Iowa #GOPDebate #IntegrityMATTERS https://t.co/NncVsYjenn,0,1,0
"@realDonaldTrump @KatrinaPierson Take it from her, she's been defunct since 1988!",0,1,0
"@realDonaldTrump @puttster71 @bobvanderplaats 
Trump,  you still have time to jump back to your party &amp; square off with Hillary 
#NoTrump",0,1,0
@tedcruz @glennbeck @realDonaldTrump Trump 2016,0,1,0
"@realDonaldTrump watch some of your interviews and speeches. Try to see urself as some others do and ask urself, 'do I want that for leader'",0,1,0
"@realDonaldTrump     Truth Talk....

#DonaldTrump    ""Cometh the Hour, Cometh the Man.""

https://t.co/Gk36pjlhU6",0,1,0
@tedcruz @glennbeck @realDonaldTrump  This is about your arrogance and bigotry. It is all about you Rafael.,1,0,0
"@realDonaldTrump Look It Up Not Long ago,He is a Hypocrite,She Made all That Money,He did not Want 2 pay High Premiums,Obama Ted Wifes Care.",1,0,0
@realDonaldTrump @LindaSuhler @megynkelly trump should chill out on this- he looks petty - you're a front runner - act like it,1,0,0
@marcorubio https://t.co/yhizNpaUHD,0,1,0
"@realDonaldTrump 9yr old girl cries tears of joy when parents tell her she gets to see Donald Trump.
https://t.co/4QGx3aiJre",0,1,0
@BernieSanders @CarolCNN @cspanwj @CNNAshleigh @Vets4Bernie #FeelTheBern @HillaryClinton @NewsHour   https://t.co/Jw2gEojwMr,0,1,0
@tedcruz @glennbeck @realDonaldTrump @ this stage in the game - GB is driving more votes to Trump than away &amp; that includes independents.,0,1,0
@realDonaldTrump @tedcruz https://t.co/W0VXYKYSaj,0,1,0
@realDonaldTrump @megynkelly Fox should hire Tina Fey to host the debate as Megyn Kelly.,0,1,0
@tedcruz @glennbeck @realDonaldTrump https://t.co/8yd44PhcSZ,0,1,0
@realDonaldTrump Would get higher ratings on a nationally-televised rally than a debate full of childish squabbling. https://t.co/cYMjF1gitV,0,1,0
@HillaryClinton your law books are dusty ever since being fired by Ziefman.. BUT study 18 U.S.Code &amp; 793 subsection f. The @FBI @DOJgov has.,1,0,0
"@ChrisChristie if that's what it takes then grab a f*cking mop, you're the governor",1,0,0
@tedcruz,0,1,0
@BernieSanders  the ACA ACT is a law that provides affordable healthcare for all even with pre existing conditions.  Embrace the law!,0,1,0
@BernieSanders @CarolCNN @cspanwj @CNNAshleigh @Vets4Bernie #FeelTheBern @HillaryClinton @NewsHour   https://t.co/D0AixTckIt,0,1,0
"@realDonaldTrump @puttster71 @bobvanderplaats American people have spoken,they want a strong leader.Trump is good for America.",0,1,0
@realDonaldTrump https://t.co/p1RuZ4ul8S,0,1,0
@tedcruz @glennbeck @realDonaldTrump https://t.co/jKGDgwe2hF,0,1,0
@realdonaldtrump 😎we need to take  action ! Things are sucking ass hard. Obama ville  falling apart watch for  me  you'll know what to do,0,1,0
"@tedcruz @glennbeck We are on the precipice of living in a post-constitutional era in the United States of America
https://t.co/LZ6Lsu9scb",0,1,0
@realDonaldTrump @Italians4Trump @Belizediver88 @CNNSitRoom @CNN @megynkelly would bow out if she has sense of diplomacy but it's about her,1,0,0
@JebBush you mean the power that your brother abused ? At 2% it's not your problem,1,0,0
"@HillaryClinton How can anyone call murder of unborn a ""principle""? 
This woman should be in jail on espionage charges, not running for Pres",1,0,0
@realDonaldTrump @LindaSuhler @megynkelly He is just trying to get out of debate because he knows he is not a good debater.,1,0,0
@tedcruz @glennbeck @realDonaldTrump #Trump2016 https://t.co/Qiv19Rs6Vh,0,1,0
"@HillaryClinton #President 
@Angie_Merkel #VP 

https://t.co/mChVqpFgSZ",0,1,0
"@realDonaldTrump @Crusade4Honesty @BornToBeGOP 

FOX should NOT allow @megynkelly to moderate- she can't possibly be objective",1,0,0
@HillaryClinton please don't think we hate you.. we just can't trust you to run the country.. you have bad judgement..  ..  @BernieSanders,1,0,0
@realDonaldTrump have you thought about Ben Carson as your Vp? You should,0,1,0
@BernieSanders https://t.co/Wd9A6kDHyq,0,1,0
@tedcruz @glennbeck @realDonaldTrump  beck and kelly together of course its about Donald Trump it always is,0,1,0
@tedcruz @glennbeck @realDonaldTrump Glenn Beck is a lunatic who needs to be admitted. Look at his past.,1,0,0
@realDonaldTrump @laurencristmann @Sharp_Trident @megynkelly Don't watch then. Trump has treated everyone else unfairly. He deserves it,0,1,0
@realDonaldTrump @LindaSuhler @megynkelly If you can't stand up to a little lady how will you stand up to Putin. Stop being a cry baby.,1,0,0
"@tedcruz @TeamTedCruz 
#CruzCrew 
#CruzToVictory 
hay @realDonaldTrump WHAT HAVE YOU DONE FOR USA LATELY? @theblaze  https://t.co/WBp2GFtvcE",1,0,0
@realDonaldTrump   @megynkelly her behavior is not what debates are about.unprofessional and biased targeting. https://t.co/BqUOkbVtzY,1,0,0
@marcorubio Join the Movement! https://t.co/VffCKxlyrD #brew4trump #vincethebrewer,0,1,0
@BernieSanders . @SenSanders @People4Bernie . Go check them out if you don't wanna see americia crash and burn 👌👌,0,1,0
@realDonaldTrump Help is on the way! https://t.co/eoXCby9DXu,0,1,0
@JebBush #JebBush2016 #CommonCore #CommonIgnorance An ignorant society is easier for the #elites to rule #Truth https://t.co/VY3bfDwFH4,0,1,0
@tedcruz @glennbeck @realDonaldTrump You can't claim to defend COTUS while your offending it. #fail,0,1,0
@realDonaldTrump @xAmericanPridex @jdenino1 @DavidWohl @ss #trump proves once again he has no class and is not at all presidential.,1,0,0
@HillaryClinton @HillaryforIA #ImWithHer https://t.co/M9ttojz2aj,0,1,0
@BernieSanders the 'socialist' acts more like christ than the pompous @tedcruz. Typical evangelical 'humility'!,1,0,0
@realDonaldTrump @laurencristmann @Sharp_Trident @megynkelly Youre such a complainer trump. Quit your whining and bashing. Do some real work,1,0,0
@tedcruz @glennbeck @realDonaldTrump https://t.co/woMEEoUp6k,0,1,0
@realDonaldTrump @LindaSuhler @megynkelly NO TRUMP YOU ARE LIBERAL CON YOU SHOULD NOT BE PRES OF A REPUBLIC! #iowacaucus #Trump2016 #CCOT,1,0,0
@realDonaldTrump @puttster71 @bobvanderplaats https://t.co/X9q6BE18as,0,1,0
"@realDonaldTrump @LindaSuhler @megynkelly 
 I for one will not watch if you are not there.A petition w/57K against her!",0,1,0
@BernieSanders @PPact the US taxpayer should not be paying for abortions thats what GOP is saying..when Dems rule https://t.co/KSQnO2DqxC,0,1,0
@realDonaldTrump give me one good reason why Muslims shouldn't be allowed in America,0,1,0
"@realDonaldTrump If we're going to run a presidential nomination based off looks alone, then Johnny Depp or Brad Pitt should be president.",0,1,0
"@realDonaldTrump *#DONALD! Senate Majority Leader Mitch McConnell Atty Heads Pro-Cruz, Anti-Trump Super PAC… https://t.co/me2UH3F6aW …",0,1,0
@realDonaldTrump  https://t.co/pKhU6ZQyvp,0,1,0
@realDonaldTrump https://t.co/67P8o5xGwq,0,1,0
@JebBush you say that now until there's a disaster then u will be begging for Federal money for things like hurracaines idiot,1,0,0
@realDonaldTrump @puttster71 @bobvanderplaats Birther BSing your way to votes? Truly sad.,0,1,0
@HillaryClinton @HillaryforIA #ImWithHer https://t.co/45xLEkbRyX,0,1,0
"@realDonaldTrump @AynsFriend @bobvanderplaats @CNN @ChrisCuomo Jeb is done, last rally in gymnasium barely enough people to play basketball",0,1,0
@tedcruz @realDonaldTrump https://t.co/6IXjDihjcg,0,1,0
@RealDonaldTrump talk about the current use of #GeoEngineering in the skies!  Look Up! @RIHouseofReps @SkyderALERT https://t.co/4XiLfIhnf3,0,1,0
@HillaryClinton @BuzzFeedNews you know unless you commit treason,0,1,0
@realDonaldTrump quit talking about yourself in the third person you fucking weirdo.,1,0,0
@tedcruz @glennbeck @realDonaldTrump https://t.co/CjNpBtHZST,0,1,0
@tedcruz @glennbeck @realDonaldTrump meg kelly starting to look like a pole dancer from an 80's movie. fishnet stockings tooo? oingo boingo,1,0,0
@realDonaldTrump Trump WHERE'S UR TAX RETURNS &amp; UR REAL MEDICAL REPORTS??? UR BOGUS TIL U SHOW THEM. THIS IS A REALITY SHOW,1,0,0
@realDonaldTrump @laurencristmann @Sharp_Trident @megynkelly Who's gonna vote 4 the loser that is afraid of a debate moderator?,1,0,0
@realDonaldTrump Thank you Mr. Trump for abolishing Common Core. This will help make America great again!,0,1,0
"@realDonaldTrump Mr. Trump, I like you, but be the bigger man, don't insult candidates. If you're winning, you don't need to! Rise above it!",0,1,0
@realDonaldTrump @Crusade4Honesty @BornToBeGOP Boo hoo hoo I'm a wealthy fart face from NY scared of @megynkelly cries tough man Trump.,1,0,0
@realDonaldTrump joins the show to talk to @GStephanopoulos as the Iowa caucuses draw closer... https://t.co/nOyD0iYr3Y,0,1,0
@realDonaldTrump @Sharp_Trident @megynkelly I don't watch her anymore!,0,1,0
"@realDonaldTrump hates Muslims until he needs bailing out

What DT’s Plaza Deal Reveals About His White House Bid https://t.co/L5jyG07OZx",1,0,0
@tedcruz is not even eligible to run for President.  Therefore U should Vote 4 @realDonaldTrump  https://t.co/FtrFopfSCG,0,1,0
@realDonaldTrump @Sharp_Trident @megynkelly 2 EASY 2 READ.WHAT SHE DID TO TRUMP SHOWS WHAT SHE IS HOWEVER I NEW THIS WAY BEFORE THATHAPPENED,1,0,0
@realDonaldTrump  💪 👍 👌 👊 👏 GO TRUMP 2016 ‼️ 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,0,1,0
@BernieSanders Inspires us 2 fight 4 the vision of a BETTER Future &amp; still stand on accomplishments #StandWithBernie https://t.co/1e62uVb3o3,0,1,0
@realDonaldTrump DT narcissist in chief#tedcruz,1,0,0
@tedcruz @glennbeck @realDonaldTrump Join the Movement! https://t.co/VffCKxlyrD #brew4trump #vincethebrewer,0,1,0
@realDonaldTrump @Crusade4Honesty @BornToBeGOP @megynkelly is Prince wooing you Meagan? Hmmmmm,0,1,0
"@ChrisChristie you can surely come down to @NorthWildwoodPD w/ a mop, you pretentious prick. Looks super dry here 👌🏼 https://t.co/e1xnbsSxHB",1,0,0
"@tedcruz @glennbeck @realDonaldTrump Oh, the one the government has violated almost every term since the 1st Presidential term #Null &amp; #Void",0,1,0
"@realDonaldTrump Mr. Trump, you will Make America GREAT Again! #Trump2016 https://t.co/TlePNeTouP",0,1,0
@realDonaldTrump I'm Dutch and Europe wants you to be the U.S. president! #MakeAmericaGreatAgain,0,1,0
@realDonaldTrump get off the Cruz not being legible to run. You're showing your insecurities. Yes he's legible.,0,1,0
@realDonaldTrump It should have been you! #VoteTrump https://t.co/RBt4zoJE8n https://t.co/UI1ikstv0I,0,1,0
"@realDonaldTrump I wanted to see what u think &amp; hope u comment on-air about that staged Hillary question ""Who is ur favorite president?'",0,1,0
@realDonaldTrump @LindaSuhler @megynkelly she'll be voting for second place this election...hahaha,0,1,0
@JebBush @HillaryClinton @danmericaCNN she has failed at everything she has done. #NotReadyForHillary,1,0,0
"@HillaryClinton you are held accountable for your lack of actions and deleting emails, classified emails, your bullying sex scandals, pathet",1,0,0
@realDonaldTrump die,0,1,0
@realDonaldTrump shut up,0,1,0
@realDonaldTrump deport me daddy,0,1,0
@realDonaldTrump #MakeAmericaGreatAgain,0,1,0
@realDonaldTrump https://t.co/yDo1eal1xK,0,1,0
"@realDonaldTrump calls forth the very worst in people, tells them it's good.
#Trump #Won'tEndWell https://t.co/CbgdOSeDAe",1,0,0
@realDonaldTrump @xxFlame @bobvanderplaats Are we in high school?,1,0,0
@realDonaldTrump MEGAN KELLY? NO TRUMP YOU ARE LIBERAL CON YOU SHOULD NOT BE PRES OF A REPUBLIC! #iowacaucus #Trump2016 #CCOT #Tcot,1,0,0
@realDonaldTrump Commie Core down the tubes!,0,1,0
@realDonaldTrump  @CNN  Trump--WHERE'S UR TAX RETURNS &amp; UR REAL MEDICAL REPORTS??? UR BOGUS TIL U SHOW THEM. THIS IS A REALITY SHOW,0,0,1
@realDonaldTrump don't forget tomorrow is #BellLetsTalk day!!! https://t.co/GMcoRoNjXD,0,1,0
"@JebBush @marcorubio considering the polls, seems to me the commercial money could be better spent like going after the leaders in the polls",0,1,0
@realDonaldTrump you will make america commit sewer side,1,0,0
@realDonaldTrump what is common core?,0,1,0
"@realDonaldTrump @laurencristmann @Sharp_Trident @megynkelly My names Donald trump and people treat me unfairly, gonna take toys &amp; go home!",1,0,0
@RealDonaldTrump talk about the current use of #GeoEngineering in the skies!  Look Up! @RIHouseofReps @SkyderALERT https://t.co/9iX2Icp83I,0,1,0
@realDonaldTrump OMG YES THANK YOU MR. PRESIDENT,0,1,0
"@tedcruz @tedcruz45 you'll be sorry because u will always lose when u attack a winner like #Trump give it your best shot, he'll take u out",0,1,0
"@realDonaldTrump Trump, thank God. The United Nations educational industrial complex must be stopped. https://t.co/QhGxo79gfn",0,1,0
"@tedcruz not even about the truth in local political parties here in 
#Morocco my dear , they put people in jail https://t.co/gDM3h4lToe",0,1,0
@realDonaldTrump @Italians4Trump @JackBurtonReflx @jdenino1 @DavidWohl @ss Bernie Bull Shit for everyone worse his free math doesn't add up,1,0,0
"@HillaryClinton 
Thousands of Cuban Refugees Crossing the Border https://t.co/qB2Ffh5iGV … https://t.co/1j186GBpNL",0,1,0
@realDonaldTrump shatter it to the core,0,1,0
@realDonaldTrump,0,1,0
"@realDonaldTrump / this alternative to Obama care keeps private insurance and provides for those underserved ,,
Larry Rudolph",0,1,0
@realDonaldTrump #tedcruz he is just getting started,0,1,0
"@BernieSanders – the candidate for main street, not Wall Street. #FeeltheBern #Bernie2016 https://t.co/PHbRB1jh5h",0,1,0
@realDonaldTrump  good,0,1,0
@realDonaldTrump @Crusade4Honesty @BornToBeGOP yea not very fun facing bias from fox 😃 #FeelTheBias,0,1,0
@realDonaldTrump is only about @realDonaldTrump #narcissism,1,0,0
@realDonaldTrump @tedcruz can be Prime Minister of Canada. I guess the American People agree with you according to the recent poll numbers.,1,0,0
@RealBenCarson @DMRegister he can saw open a skull?,0,1,0
"@BernieSanders That there are candidates like Triumph, Rubio, Bush shows the decay of the USA society. You are a hope for this broken world.",0,1,0
@realDonaldTrump Cunt,0,1,0
@realDonaldTrump Amen!!!!,0,1,0
@tedcruz @glennbeck @realDonaldTrump - Glenn Beck needs to go away!  terrible show.  of course the radio repubs are going to endorse.,1,0,0
@realDonaldTrump finally someone!,0,1,0
@realDonaldTrump You're a disaster🙈,1,0,0
@realDonaldTrump https://t.co/KRpToB9vQE,0,1,0
"@realDonaldTrump

A Media Army Dug Through @SarahPalinUSA Med Records!

Who's Guarding @HillaryClinton Med &amp; Why? https://t.co/W1hRWliBIu",0,1,0
@tedcruz knows his electorate. He spent the last four years burning bridges to run for president. #ambition  https://t.co/iixWO8BwVc,1,0,0
@realDonaldTrump The Fed disaster,0,1,0
"@tedcruz Tried and True.... We Can't Lose with CRUZ! #TrusTed

Join us: https://t.co/MeyX4TacSh. #CruzCrew #PJNET https://t.co/K6hLcChMb4",0,1,0
@realDonaldTrump You're a fucking disaster. Common core isn't bad. You're just too fucking dumb to understand it. Go away. #dumbtrump,1,0,0
"@HillaryClinton 8 minutes ago
Thousands of Cuban Refugees Crossing the Border https://t.co/qB2Ffh5iGV …",0,1,0
"@realDonaldTrump is desperate RTS someone with 3 followers.
#CruzCrew #Cruz2016 https://t.co/Nq1d63uiQy",1,0,0
@realDonaldTrump TRUMP 2016!,0,1,0
@realDonaldTrump Thank you. Yes it is a disaster,0,1,0
@realDonaldTrump @xxFlame @bobvanderplaats WHERE'S UR TAX RETURNS &amp; UR REAL MEDICAL REPORTS??? UR BOGUS TIL U SHOW THEM. IT'S A REALITY SHOW,0,0,1
@JebBush you won't be doing anything by the end of SC primary except being humiliated by finishing last in Iowa N H &amp; SC.,1,0,0
"@realDonaldTrump is not a #conservative, he's an opportunist. The reason he's running as a republican is that he knows republicans will win.",0,1,0
@ChrisChristie stay in New Hampshire. #scumbag,0,1,0
@realDonaldTrump q,0,1,0
@realDonaldTrump https://t.co/KCcVrenD7v,0,1,0
@tedcruz @glennbeck @realDonaldTrump #dumpglennbeck he has lost it and will only drag you down,1,0,0
"@tedcruz @glennbeck ..following a flawed politician is one thing, but clinging to a failed human like Beck for advice is just pathetic.",1,0,0
"@realDonaldTrump @Gdestefano95 @Belizediver88 @CNNSitRoom @CNN @megynkelly I, I, I, me, me, me.",1,0,0
"@HillaryClinton 8 minutes ago
Thousands of Cuban Refugees Crossing the Border https://t.co/qB2Ffh5iGV …",0,1,0
@HillaryClinton https://t.co/A9nsmsgL1E,0,1,0
@realDonaldTrump https://t.co/gBaVeBn1lu,0,1,0
@realDonaldTrump How? It's not a national mandate to begin with. I do hope you know that.,0,1,0
@realDonaldTrump  Thank you. Subliminal messages in English language books to turn children against parents ..,0,1,0
@BernieSanders @HillaryClinton #DemTownHall  #libtards https://t.co/JJpZ36ap4p,0,1,0
"@realDonaldTrump amen, don't forget promises matter in real politics",0,1,0
@realDonaldTrump @sevigny_rob @WhiteJacketPink @MyPresidentme @SpencerMckim https://t.co/VPaAFXeGMx,0,1,0
@realdonaldtrump YOU ARE A FASCIST TRUMP,1,0,0
@realDonaldTrump https://t.co/n79Hz3G0PN,0,1,0
@realDonaldTrump @LindaSuhler @megynkelly Based on your bias and contradiction u should not B allowed to run for President,1,0,0
"@HillaryClinton: Hillz, ya REALLY gotta VET these! You're makin' things WAY too easy! #FAIL",0,1,0
@marcorubio pfft that moron?,1,0,0
@realDonaldTrump vote! https://t.co/DsgE9k0blc,0,1,0
@realDonaldTrump with @STR8HUSTLING  2016 #MakeAmericaGreatAgain https://t.co/P40yRu0YJQ #Nashville https://t.co/gxKCkZGNgE,0,1,0
@realDonaldTrump Remember just because you're rich doesn't mean you're better. Not everyone had daddy's money to start a business.,1,0,0
@realDonaldTrump #TedCruz2016HisFavorAbilitiesAreAt78%YouSayingDifferentDoesn'tMakeItSo,0,0,1
"@realDonaldTrump American education has been distorted into some sort of sounding board for extremism &amp; liberalism..
https://t.co/LZ6Lsu9scb",0,1,0
@realDonaldTrump define common core Im curious if you even know what it is,0,1,0
@realDonaldTrump thank you! This is the main reason I will vote for you. My kids need to get back to the basics.,0,1,0
@realDonaldTrump Will you please address the disaster Homeschooling as well. We have children falling through the cracks.,0,1,0
@tedcruz @glennbeck @realDonaldTrump BS.  He wants Hillary to win so he can yell and complain.,1,0,0
"@BernieSanders goes full socialist: We will raise taxes ... yes, we will https://t.co/d7HyW3Becj via @YouTube",1,0,0
@realDonaldTrump https://t.co/ecb7i2BmZQ,0,1,0
@realDonaldTrump @xxFlame @bobvanderplaats common core is why our kids are failing and the education system is messed.,0,1,0
@HillaryClinton  https://t.co/EKaznl8KJA,0,1,0
@realDonaldTrump will you please put God back in schools again! My kid should come home to do homework on both Columbus and Jesus!,0,1,0
@realDonaldTrump https://t.co/8yd44PhcSZ,0,1,0
@realDonaldTrump then I hope u get elected! Common core is HORRIBLE!,0,1,0
@realDonaldTrump I'm Getting ready to knock on doors in February to spread your vision and hope to #MakeAmericaGreatAgain,0,1,0
@HillaryClinton try to understand.. @billclinton screwed us with NAFTA.. and we know you will betray us with TPP.. ..  @BernieSanders,1,0,0
@realDonaldTrump have*,0,1,0
"@realDonaldTrump @AynsFriend @bobvanderplaats @CNN @ChrisCuomo , Yup",0,1,0
@realDonaldTrump Well Go Get It And Straighten This Mess Out.,0,1,0
"@tedcruz @glennbeck @realDonaldTrump At this point, I find BOTH Kelly &amp; Trump to be utterly DISGUSTING, ARROGANT BUFFOONS. Kelly is a HACK.",1,0,0
@realDonaldTrump #scaredoftoughquestions im no @megankelly fan but it sounds like your scared of her @realDonaldTrump,1,0,0
@realDonaldTrump need to end corn to ethanol subsidies as well -- also an absolute disaster!,0,1,0
"@realDonaldTrump Some of the states, such as mine, are already ending it. Thank God.",0,1,0
@realDonaldTrump @maxkinsellax,0,1,0
@BernieSanders spending all his time apologizing to BLM while the Trump is getting 25% of the black vote. https://t.co/No7K4E91GC,0,1,0
@tedcruz @glennbeck @realDonaldTrump Ted Cruz doesn't have the constitution in his bones. His bones where born in Canada eh.,1,0,0
@realDonaldTrump it's a disaster like Jeb!,1,0,0
@realDonaldTrump ty,0,1,0
@realDonaldTrump @xxFlame @bobvanderplaats all these little kids mad that they cant even vote yet lmao,0,1,0
@HillaryClinton u almost won me back but its disappointing u cant admit error in judgment/that u did anything wrong re: emails #DemTownHall,1,0,0
@realDonaldTrump @xxFlame @bobvanderplaats Wrong again Donald,0,1,0
@HillaryClinton @realDonaldTrump @BernieSanders  https://t.co/AsDfN1dL2a,0,1,0
@realDonaldTrump I think Mr. Trump should just totally ignore any questions from Ms. Kelly.  That would really get her goat.,0,1,0
"@realDonaldTrump give me strength today, for i am taking finals",0,1,0
@realDonaldTrump @xxFlame @bobvanderplaats I can't wait to see you lose.,0,1,0
